epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9532,1.34055,3.5525,1.33893,0.00333,1,0.07444,0.04684,0.95825,3.82132,1.0129,0.00012,0.00012,0.00012
2,55.3862,1.21934,3.06724,1.21745,0.00333,1,0.40256,0.26819,0.85614,3.6143,0.95264,0.000254852,0.000254852,0.000254852
3,81.7122,1.21415,2.33918,1.22362,0.00333,1,0.4358,0.29198,0.95081,3.6095,0.98861,0.00038416,0.00038416,0.00038416
4,108.141,1.17423,2.05542,1.14778,0.00333,1,0.37585,0.21917,0.77586,3.67981,0.97352,0.000507924,0.000507924,0.000507924
5,134.641,1.13524,2.02383,1.16719,0.00333,1,0.71822,0.50641,0.81259,3.715,1.00007,0.000626144,0.000626144,0.000626144
6,161.023,1.20654,2.19569,1.27563,0.00333,1,0.5664,0.34063,0.87458,3.78017,1.02697,0.00073882,0.00073882,0.00073882
7,187.397,1.1711,1.89857,1.25321,0.00333,1,0.19961,0.10741,1.01071,3.6902,1.05803,0.000845952,0.000845952,0.000845952
8,213.815,1.18813,1.85708,1.23023,0.00333,1,0.22897,0.15339,0.99293,3.62699,1.05447,0.00094754,0.00094754,0.00094754
9,240.102,1.1644,1.84924,1.21195,0.00333,1,0.28531,0.22652,1.07013,3.67655,1.11541,0.00104358,0.00104358,0.00104358
10,266.421,1.26882,1.71719,1.28969,1,0.29343,0.55284,0.37577,1.3597,3.50316,1.38527,0.00113408,0.00113408,0.00113408
11,292.718,1.28647,1.73979,1.34053,0.68907,0.28571,0.52143,0.39009,1.15213,3.46227,1.15277,0.00121904,0.00121904,0.00121904
12,319.182,1.16168,1.77627,1.24794,0.50282,0.14286,0.42233,0.2861,1.44039,3.41331,1.30899,0.00129845,0.00129845,0.00129845
13,345.564,1.19278,1.60645,1.25095,0.33141,0.42857,0.37,0.24978,1.3385,3.21449,1.27362,0.00137232,0.00137232,0.00137232
14,371.757,1.10801,1.5369,1.18833,0.4916,0.28571,0.3317,0.25919,1.23635,3.10339,1.19743,0.00144064,0.00144064,0.00144064
15,398.722,1.08039,1.54779,1.1501,0.35491,0.42857,0.29629,0.23674,1.24645,3.44468,1.25753,0.0014456,0.0014456,0.0014456
16,425.426,1.16467,1.62382,1.23312,0.39405,0.42857,0.26961,0.2274,1.48264,3.7477,1.49511,0.001406,0.001406,0.001406
17,451.727,1.0862,1.51257,1.17764,0.24775,0.28571,0.22659,0.16532,1.42963,3.73392,1.37321,0.0013664,0.0013664,0.0013664
18,478.011,1.1345,1.4864,1.22199,1,0.28,0.28864,0.23146,1.4751,3.99016,1.46645,0.0013268,0.0013268,0.0013268
19,504.544,1.18876,1.4244,1.21642,0.81347,0.71429,0.79267,0.58088,1.08931,2.2244,1.16082,0.0012872,0.0012872,0.0012872
20,530.993,1.14667,1.42863,1.23558,0.72614,0.85714,0.8455,0.6339,1.14443,1.89776,1.15174,0.0012476,0.0012476,0.0012476
21,557.625,1.17433,1.3692,1.21651,0.65184,0.57143,0.6692,0.46991,1.268,2.19073,1.18925,0.001208,0.001208,0.001208
22,584.009,1.0601,1.25231,1.13986,0.85442,0.84081,0.85524,0.62214,1.02778,1.77458,1.10942,0.0011684,0.0011684,0.0011684
23,610.242,1.01083,1.25281,1.15082,0.87163,0.97303,0.92375,0.65518,1.18646,1.79093,1.13537,0.0011288,0.0011288,0.0011288
24,636.548,1.00507,1.14998,1.11396,0.84794,1,0.9425,0.62594,1.31601,1.76711,1.22512,0.0010892,0.0010892,0.0010892
25,662.824,1.0422,1.12631,1.14679,1,0.848,0.96389,0.58442,1.45092,1.81879,1.30532,0.0010496,0.0010496,0.0010496
26,689.281,0.97601,1.08616,1.10915,1,0.98355,0.995,0.65015,1.2037,1.51582,1.18351,0.00101,0.00101,0.00101
27,715.534,0.9657,1.18832,1.12148,0.97671,0.85714,0.96389,0.72673,1.00006,1.39051,1.10484,0.0009704,0.0009704,0.0009704
28,741.853,0.89872,1.01859,1.07279,0.96857,0.85714,0.9775,0.70162,1.11371,1.48635,1.1508,0.0009308,0.0009308,0.0009308
29,768.164,0.88657,0.98341,1.0424,0.98431,0.85714,0.9775,0.70423,1.0616,1.58106,1.13068,0.0008912,0.0008912,0.0008912
30,794.537,1.00117,1.11722,1.1668,0.97681,0.85714,0.94409,0.65399,1.12719,1.7174,1.11873,0.0008516,0.0008516,0.0008516
31,820.945,0.8449,1.00572,1.02708,0.95694,0.85714,0.96389,0.64985,1.08856,1.40955,1.14855,0.000812,0.000812,0.000812
32,847.412,0.86472,0.97766,1.02853,0.97668,0.85714,0.96389,0.64254,1.13206,1.26686,1.17867,0.0007724,0.0007724,0.0007724
33,873.675,0.83167,0.99978,1.04303,0.97443,0.85714,0.953,0.60992,1.23536,1.33029,1.20411,0.0007328,0.0007328,0.0007328
34,900.109,0.81085,0.96387,1.02068,0.96791,0.85714,0.93667,0.66214,1.06443,1.34498,1.13236,0.0006932,0.0006932,0.0006932
35,926.474,0.84964,0.97033,1.04083,0.97553,0.85714,0.93038,0.62224,1.08554,1.46594,1.1486,0.0006536,0.0006536,0.0006536
36,953.121,0.86494,0.98239,1.07128,0.94353,0.85714,0.93038,0.62261,1.14894,1.53683,1.1744,0.000614,0.000614,0.000614
37,979.601,0.83534,0.90599,1.05523,0.94761,0.85714,0.93667,0.63179,1.09651,1.37846,1.14776,0.0005744,0.0005744,0.0005744
38,1005.97,0.81994,0.88378,1.03684,0.9812,0.85714,0.93667,0.63332,1.13598,1.33243,1.14054,0.0005348,0.0005348,0.0005348
39,1032.29,0.74466,0.838,1.00994,0.95286,0.71429,0.905,0.66853,1.11355,1.30392,1.13498,0.0004952,0.0004952,0.0004952
40,1058.41,0.78446,0.88366,1.05636,1,0.85576,0.92033,0.67211,1.06956,1.27852,1.11893,0.0004556,0.0004556,0.0004556
41,1085.5,0.73697,0.90063,1.00149,0.99505,0.85714,0.925,0.65884,1.07552,1.21738,1.11788,0.000416,0.000416,0.000416
42,1111.94,0.7475,0.96219,1.02138,0.97072,0.85714,0.93038,0.65673,1.1289,1.16142,1.12962,0.0003764,0.0003764,0.0003764
43,1138.3,0.72574,0.9684,1.0153,0.96771,0.85714,0.93667,0.67482,1.10754,1.19961,1.12534,0.0003368,0.0003368,0.0003368
44,1164.74,0.71327,0.96329,1.00031,0.98237,0.85714,0.953,0.69954,1.12505,1.12002,1.12451,0.0002972,0.0002972,0.0002972
45,1190.92,0.73675,0.93704,0.99393,0.98118,0.85714,0.953,0.69954,1.14727,1.08412,1.13147,0.0002576,0.0002576,0.0002576
46,1217.14,0.65899,0.87375,0.95289,0.97715,0.85714,0.96389,0.67586,1.1634,1.03899,1.14166,0.000218,0.000218,0.000218
47,1243.46,0.67236,0.85602,0.9893,1,0.97444,0.995,0.69566,1.15803,0.99409,1.14668,0.0001784,0.0001784,0.0001784
48,1269.68,0.67157,0.86835,0.97266,1,0.98109,0.995,0.72166,1.13154,0.96529,1.13907,0.0001388,0.0001388,0.0001388
49,1296.01,0.66218,0.84479,0.97426,1,0.98245,0.995,0.72166,1.12262,0.95732,1.13592,9.92e-05,9.92e-05,9.92e-05
50,1322.4,0.67408,0.86235,0.97658,1,0.9869,0.995,0.71896,1.11154,0.95049,1.1301,5.96e-05,5.96e-05,5.96e-05
